ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"91.222.198.125","elite","AS57474","IR","Nazhin Sepahan IT and data processing plc","128","Computer research center of Islamic seminary of Isfahan","5678","socks5","902","1","2023-03-09T11:04:38.318Z","58","693","1203"
"138.197.69.132","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","19260","socks5","888","1","2023-03-09T11:05:49.621Z","100","1208","1210"
"194.116.72.46","elite","AS41364","IT","Consorzio TOP IX - Torino E Piemonte Exchange Point CC","15","Consorzio Topix - Torino e Piemonte Exchange Point","7497","socks5","1088","1","2023-03-09T11:04:55.826Z","100","1201","1202"
"103.75.185.134","elite","AS135905","VN","Inet software one member company limited","214","Inet software one member company limited","6359","socks5","1246","1","2023-03-09T11:05:13.659Z","89","1072","1208"
"45.32.127.117","elite","AS20473","SG","The Constant Company","230","Vultr Holdings, LLC","13989","socks5","1078","1","2023-03-09T11:02:01.555Z","81","976","1203"
"194.58.104.111","elite","AS197695","RU","\"Domain names registrar REG.RU\", Ltd","45","Reg.Ru","7497","socks5","1284","1","2023-03-09T11:05:02.855Z","97","1169","1208"
"180.122.151.182","elite","AS4134","CN","Chinanet","209","Chinanet JS","28643","socks5","1337","1","2023-03-09T11:07:01.901Z","87","1049","1199"
"92.53.90.84","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","45","Selectel Ltd.","4763","socks5","1152","1","2023-03-09T11:05:57.818Z","98","1185","1210"
"66.33.209.193","elite","AS26347","US","New Dream Network, LLC","80","New Dream Network, LLC","58418","socks5","1213","1","2023-03-09T11:03:23.853Z","100","1200","1200"
"75.119.205.47","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","49252","socks5","1198","1","2023-03-09T11:07:39.311Z","100","1208","1209"
"203.159.92.199","elite","AS56309","TH","Siamdata Communication Co., ltd.","243","ReadyIDC Co., Ltd","3080","socks5","1098","1","2023-03-09T11:06:15.759Z","97","1160","1199"
"178.62.229.24","elite","AS14061","NL","DigitalOcean, LLC","17","Digital Ocean","45603","socks5","1075","1","2023-03-09T11:01:20.532Z","100","1210","1210"
"103.35.108.145","elite","AS23991","BD","Ranks ITT","157","Ranks ITT Ltd.","4145","socks5","1125","1","2023-03-09T11:02:57.239Z","99","1202","1209"
"51.38.32.142","elite","AS16276","FR","OVH SAS","5","OVH","43478","socks5","538","1","2023-03-09T11:06:19.979Z","100","1186","1186"
"192.241.177.96","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","10599","socks5","1118","1","2023-03-09T11:01:48.464Z","100","1199","1199"
"50.116.14.201","elite","AS63949","US","Akamai Technologies, Inc.","144","Linode","7497","socks5","1155","1","2023-03-09T11:03:53.328Z","100","1209","1209"
"31.128.248.1","elite","AS208139","UA","ISP Avator","40","\"Merlin-Telekom\" LLC","1080","socks5","578","1","2023-03-09T11:07:59.047Z","97","1161","1198"
"51.210.21.189","elite","AS16276","FR","OVH SAS","6","EL Zayat Hadi","1080","socks5","1004","1","2023-03-09T11:01:39.334Z","97","1167","1209"
"146.145.199.98","elite","AS7029","US","Windstream Communications LLC","87","Colo16","8080","socks5","1187","1","2023-03-09T11:04:11.333Z","99","1188","1199"
"199.188.93.214","elite","AS64200","US","Vivid-hosting LLC","142","Vivid-hosting LLC","9000","socks5","1164","1","2023-03-09T11:04:21.841Z","100","1208","1209"
"81.68.156.53","elite","AS45090","NL","EuroNet Internet","201","Euronet Communications B.V.","2080","socks5","567","1","2023-03-09T11:04:59.865Z","94","1128","1197"
"120.42.46.226","elite","AS4134","CN","Chinanet","221","Chinanet FJ","6666","socks5","1107","1","2023-03-09T11:06:07.165Z","98","1180","1209"
"148.251.51.234","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","9050","socks5","1271","1","2023-03-09T11:01:42.226Z","100","1198","1198"
"167.86.99.193","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","2341","socks5","1141","1","2023-03-09T11:07:43.493Z","100","1209","1209"
"178.159.42.76","elite","AS204601","NL","Zomro B.V.","14","Zomro B.V","14300","socks5","1045","1","2023-03-09T11:01:20.864Z","100","1193","1198"
"69.163.165.180","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","41610","socks5","1138","1","2023-03-09T11:02:48.711Z","100","1209","1210"
"104.255.170.65","elite","AS397373","US","H4Y Technologies LLC","154","N/A","53623","socks5","1301","1","2023-03-09T11:07:16.308Z","100","1198","1199"
"103.80.118.242","elite","AS135834","IN","Multicraft Digital Technologies Private Limited","123","Multicraft Digital Technologies Private Limited","51080","socks5","1174","1","2023-03-09T11:04:04.903Z","96","1158","1209"
"54.39.87.232","elite","AS16276","CA","OVH SAS","86","OVH Hosting, Inc","39721","socks5","1073","1","2023-03-09T11:01:10.946Z","100","1209","1209"
"45.12.30.231","elite","AS209242","GB","Cloudflare London, LLC","1","LIR Services","80","socks5","1048","1","2023-03-09T11:03:52.592Z","100","1205","1206"
"132.148.6.255","elite","AS398101","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","20859","socks5","924","1","2023-03-09T11:01:08.100Z","96","1136","1186"
"221.215.124.214","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","181","N/A","10080","socks5","667","1","2023-03-09T11:03:46.666Z","77","924","1197"
"195.168.10.9","elite","AS5578","SK","SWAN, a.s.","22","SWAN, a.s.","6692","socks5","1107","1","2023-03-09T11:02:19.507Z","100","1210","1211"
"119.3.188.87","elite","AS55990","CN","Huawei Cloud Service data center","159","Huawei Cloud Service","1080","socks5","1180","1","2023-03-09T11:05:52.473Z","86","1025","1197"
"123.31.12.184","elite","AS135905","VN","VietNam Post and Telecom Corporation","230","Vietnam Posts and Telecommunications Group","28417","socks5","577","1","2023-03-09T11:03:49.658Z","99","1202","1209"
"119.199.225.148","elite","AS4766","KR","Korea Telecom","258","busanbonbujang(kones)","4145","socks5","926","1","2023-03-09T11:06:04.431Z","95","1144","1198"
"193.169.4.184","elite","AS49261","RU","Lekstar Communication Ltd","54","SVS-Telecom Ltd","10801","socks5","922","1","2023-03-09T11:06:47.534Z","98","1182","1210"
"124.227.14.147","elite","AS4134","CN","Chinanet","228","Chinanet GX","7302","socks5","946","1","2023-03-09T11:04:21.069Z","93","1110","1198"
"173.236.182.83","elite","AS26347","US","New Dream Network, LLC","82","New Dream Network, LLC","12873","socks5","1202","1","2023-03-09T11:06:30.745Z","100","1209","1209"
"104.19.85.214","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","1186","1","2023-03-09T11:01:14.467Z","100","1196","1196"
"45.40.234.122","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","211","Tencent Cloud Computing (Beijing) Co., Ltd","30001","socks5","1133","1","2023-03-09T11:06:31.491Z","95","1145","1210"
"111.172.234.244","elite","AS138982","CN","China Telecom","192","Chinanet HB","23456","socks5","968","1","2023-03-09T11:03:32.501Z","98","1175","1197"
"70.34.222.80","elite","AS20473","SE","The Constant Company","30","Vultr","1080","socks5","71","1","2023-03-09T11:08:14.628Z","42","503","1209"
"68.183.88.14","elite","AS14061","IN","DigitalOcean, LLC","152","DigitalOcean, LLC","7497","socks5","1121","1","2023-03-09T11:03:08.242Z","85","1023","1198"
"213.149.103.132","elite","AS8585","ME","Crnogorski Telekom a.d.Podgorica","39","T ComServeri","56671","socks5","1200","1","2023-03-09T11:05:16.987Z","99","1197","1209"
"45.79.193.124","elite","AS63949","US","Akamai Technologies, Inc.","100","Linode","7158","socks5","1109","1","2023-03-09T11:06:19.305Z","91","1090","1196"
"123.146.186.38","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","253","N/A","1080","socks5","604","1","2023-03-09T11:07:34.146Z","46","560","1209"
"94.130.182.121","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","5566","socks5","1274","1","2023-03-09T11:06:35.189Z","100","1196","1196"
"103.127.250.123","elite","AS138527","HK","ADC GROUP CO.","207","ADC GROUP CO., LIMITED","9999","socks5","1092","1","2023-03-09T11:01:05.103Z","100","1209","1210"
"139.59.128.40","elite","AS14061","DE","DIGITALOCEAN","23","DigitalOcean, LLC","2016","socks5","1156","1","2023-03-09T11:04:07.127Z","100","1195","1196"
"205.185.119.188","elite","AS53667","US","FranTech Solutions","138","FranTech Solutions","5555","socks5","1158","1","2023-03-09T11:02:01.958Z","23","277","1210"
"82.202.196.126","elite","AS50340","RU","OOO \"Network of data-centers \"Selectel\"","47","N/A","9050","socks5","1054","1","2023-03-09T11:07:59.476Z","100","1197","1197"
"192.169.217.153","elite","AS26496","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","17228","socks5","1203","1","2023-03-09T11:06:42.561Z","89","1080","1209"
"182.160.5.234","elite","AS136907","HK","Huawei International Pte. LTD","262","N/A","1080","socks5","1060","1","2023-03-09T11:04:26.337Z","76","906","1195"
"139.59.6.54","elite","AS14061","IN","DIGITALOCEAN","151","DigitalOcean, LLC","54571","socks5","1140","1","2023-03-09T11:07:20.969Z","99","1201","1209"
"222.129.32.31","elite","AS4808","CN","China Unicom Beijing Province Network","247","N/A","57114","socks5","1045","1","2023-03-09T11:04:15.964Z","96","1150","1194"
"139.59.68.143","elite","AS14061","IN","DIGITALOCEAN","141","DigitalOcean, LLC","48922","socks5","1056","1","2023-03-09T11:01:50.486Z","100","1208","1209"
"157.245.77.149","elite","AS14061","NL","DigitalOcean, LLC","11","DigitalOcean, LLC","2817","socks5","1175","1","2023-03-09T11:05:33.900Z","100","1195","1195"
"104.18.161.122","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","938","1","2023-03-09T11:01:51.945Z","100","1206","1210"
"208.113.223.114","elite","AS26347","US","New Dream Network, LLC","83","New Dream Network, LLC","60154","socks5","1097","1","2023-03-09T11:01:30.130Z","100","1196","1196"
"104.16.207.86","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks5","1137","1","2023-03-09T11:01:45.669Z","100","1209","1209"
"148.251.73.152","elite","AS24940","DE","Hetzner Online GmbH","16","N/A","9050","socks5","1102","1","2023-03-09T11:06:08.436Z","100","1193","1195"
"51.195.224.227","elite","AS16276","GB","OVH SAS","9","OVH Ltd","1080","socks5","1262","1","2023-03-09T11:01:11.317Z","96","1162","1208"
"153.99.126.18","elite","AS4837","CN","CHINA UNICOM China169 Backbone","235","Unicom JS","7302","socks5","938","1","2023-03-09T11:04:45.873Z","99","1190","1196"
"142.93.78.172","elite","AS14061","US","DigitalOcean, LLC","81","DigitalOcean, LLC","14729","socks5","1210","1","2023-03-09T11:03:55.000Z","100","1210","1211"
"38.91.107.224","elite","AS63023","US","GTHost","110","Globaltelehost Corp","40808","socks5","879","1","2023-03-09T11:06:01.838Z","100","1189","1194"
"47.242.232.206","elite","AS45102","HK","Alibaba.com LLC","245","Hong Kong","39426","socks5","1073","1","2023-03-09T11:05:10.236Z","96","1160","1210"
"118.113.212.237","elite","AS4134","CN","Chinanet","243","Chinanet SC","1080","socks5","1112","1","2023-03-09T11:02:44.348Z","32","382","1195"
"114.99.14.138","elite","AS4134","CN","Chinanet","219","Chinanet AH","8004","socks5","969","1","2023-03-09T11:04:21.631Z","63","757","1208"
"176.31.182.185","elite","AS16276","FR","OVH ISP","4","OVH","9050","socks5","550","1","2023-03-09T11:05:00.517Z","50","599","1194"
"51.81.89.146","elite","AS16276","US","OVH SAS","81","OVH US LLC","50605","socks5","1123","1","2023-03-09T11:05:31.695Z","77","931","1209"
"5.188.226.250","elite","AS202422","IT","G-Core Labs S.A.","23","GCL","36762","socks5","1194","1","2023-03-09T11:05:20.420Z","75","894","1194"
"95.213.154.54","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","45","N/A","31337","socks5","1095","1","2023-03-09T11:07:05.820Z","100","1209","1209"
"43.129.233.215","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","305","Tencent Cloud Computing","23863","socks5","1125","1","2023-03-09T11:05:05.651Z","82","984","1195"
"148.66.142.19","elite","AS26496","SG","GoDaddy.com, LLC","153","Godaddy.com","61481","socks5","1135","1","2023-03-09T11:05:40.318Z","100","1206","1210"
"170.187.153.79","elite","AS63949","US","Akamai Technologies, Inc.","99","Linode","53052","socks5","1053","1","2023-03-09T11:02:59.720Z","100","1192","1193"
"103.207.8.130","elite","AS135744","IN","Shree Balaji Infoway Private Limited","125","Shree Balaji Infoway Private Limited","23804","socks5","1009","1","2023-03-09T11:02:07.910Z","100","1204","1209"
"87.236.232.231","elite","AS35656","JO","Jordanian Universities Network L.L.C.","82","N/A","8080","socks5","982","1","2023-03-09T11:04:11.935Z","100","1194","1194"
"104.129.199.57","elite","AS22616","US","ZSCALER, INC.","142","Zscaler, Inc.","8800","socks5","1133","1","2023-03-09T11:06:36.378Z","98","1186","1209"
"60.12.77.43","elite","AS4837","CN","CNC Group CHINA169 Zhejiang Province Network","214","N/A","7302","socks5","904","1","2023-03-09T11:02:31.036Z","99","1186","1194"
"199.87.210.189","elite","AS395092","US","Shock Hosting LLC","146","Shock Hosting LLC","10601","socks5","1132","1","2023-03-09T11:03:32.242Z","100","1207","1210"
"75.119.205.218","elite","AS26347","US","New Dream Network, LLC","152","New Dream Network, LLC","32238","socks5","1223","1","2023-03-09T11:06:47.516Z","100","1194","1195"
"174.138.176.74","elite","AS19318","US","Interserver, Inc","73","Interserver, Inc","17258","socks5","1220","1","2023-03-09T11:05:14.751Z","100","1206","1209"
"178.254.18.11","elite","AS42730","DE","BLU-VH","10","1blu AG","57335","socks5","1183","1","2023-03-09T11:03:48.576Z","98","1175","1193"
"217.115.115.252","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","22","Webworld","56792","socks5","1213","1","2023-03-09T11:06:32.663Z","91","1105","1210"
"37.228.129.57","elite","AS200651","FI","Flokinet Ltd","34","FlokiNET Finland","22122","socks5","1213","1","2023-03-09T11:07:28.242Z","100","1207","1210"
"159.138.43.96","elite","AS136907","HK","Huawei International Pte. Ltd.","249","N/A","1080","socks5","721","1","2023-03-09T11:06:00.782Z","90","1075","1194"
"103.250.73.178","elite","AS17819","JP","UPRIGHT","236","Upright Inc.","8444","socks5","967","1","2023-03-09T11:01:39.335Z","99","1202","1209"
"47.102.194.161","elite","AS37963","CN","Addresses CNNIC","186","Aliyun Computing Co., LTD","22002","socks5","1098","1","2023-03-09T11:02:28.316Z","97","1157","1194"
"212.3.104.126","elite","AS6702","UA","Apex NCC","57","N/A","8080","socks5","1067","1","2023-03-09T11:01:57.681Z","96","1165","1210"
"95.78.119.94","elite","AS42116","RU","CJSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","61","JSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","1080","socks5","597","1","2023-03-09T11:03:49.657Z","99","1182","1194"
"217.115.115.170","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","26","Webworld","56792","socks5","1185","1","2023-03-09T11:07:21.322Z","94","1132","1209"
"212.47.228.149","elite","AS12876","FR","Online S.A.S.","1","ONLINE","13888","socks5","1261","1","2023-03-09T11:05:29.214Z","71","851","1193"
"222.223.115.225","elite","AS4134","CN","Chinanet","217","Chinanet HE","7302","socks5","1041","1","2023-03-09T11:06:22.240Z","95","1152","1210"
"66.33.210.93","elite","AS26347","US","New Dream Network, LLC","80","New Dream Network, LLC","17567","socks5","1262","1","2023-03-09T11:07:38.606Z","100","1192","1193"
"31.210.52.133","elite","AS49334","TR","SH ONLINE ILETISIM ANONIM SIRKETI","48","SH ONLINE ILETISIM ANONIM SIRKETI","61443","socks5","1234","1","2023-03-09T11:06:17.631Z","83","1009","1209"
"155.138.238.14","elite","AS20473","US","The Constant Company","96","Vultr Holdings, LLC","808","socks5","1219","1","2023-03-09T11:07:41.190Z","100","1193","1193"
"164.92.205.28","elite","AS14061","DE","DigitalOcean, LLC","29","DigitalOcean, LLC","9050","socks5","1271","1","2023-03-09T11:05:30.914Z","99","1198","1210"
"164.52.24.141","elite","AS63199","JP","Capitalonline Data Service (HK) Co","254","N/A","8030","socks5","1056","1","2023-03-09T11:03:17.109Z","99","1182","1193"
"167.172.23.19","elite","AS14061","US","DigitalOcean, LLC","78","DigitalOcean, LLC","64065","socks5","440","1","2023-03-09T11:07:59.307Z","99","1202","1209"
"75.119.201.151","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","15745","socks5","1047","1","2023-03-09T11:02:08.302Z","100","1193","1194"
"140.83.36.112","elite","AS31898","JP","Oracle Corporation","229","Oracle Cloud Infrastructure (ap-tokyo-1)","16725","socks5","1138","1","2023-03-09T11:06:33.007Z","83","1006","1209"
"1.179.220.211","elite","AS131293","TH","TOT Public Company Limited","166","Department of Agriculture","7497","socks5","1108","1","2023-03-09T11:03:09.640Z","99","1185","1193"
"138.68.168.52","elite","AS14061","GB","DigitalOcean, LLC","17","DigitalOcean, LLC","14693","socks5","1068","1","2023-03-09T11:03:39.177Z","97","1176","1209"
"162.0.220.216","elite","AS22612","US","Namecheap, Inc.","133","Namecheap, Inc.","38304","socks5","491","1","2023-03-09T11:03:21.211Z","100","1192","1193"
"165.22.58.191","elite","AS14061","SG","DigitalOcean, LLC","175","DigitalOcean, LLC","42311","socks5","1143","1","2023-03-09T11:01:38.020Z","92","1107","1209"
"162.0.220.219","elite","AS22612","US","Namecheap, Inc.","133","Namecheap, Inc.","59189","socks5","1113","1","2023-03-09T11:01:51.303Z","100","1189","1193"
"193.111.198.193","elite","AS24961","DE","myLoc managed IT AG","18","myLoc managed IT AG","54825","socks5","766","1","2023-03-09T11:06:49.127Z","100","1210","1210"
"210.210.154.61","elite","AS4787","ID","CBN","200","N/A","5678","socks5","1028","1","2023-03-09T11:02:46.570Z","100","1192","1193"
"173.255.199.69","elite","AS63949","US","Akamai Technologies, Inc.","117","Linode","19151","socks5","1081","1","2023-03-09T11:04:21.043Z","100","1207","1208"
"43.128.62.125","elite","AS132203","HK","Aceville Pte.ltd","241","N/A","23642","socks5","1072","1","2023-03-09T11:07:05.454Z","86","1021","1187"
"143.198.237.236","elite","AS14061","US","DigitalOcean, LLC","152","DigitalOcean, LLC","9050","socks5","1202","1","2023-03-09T11:06:12.280Z","69","5257","7618"
"103.253.145.36","elite","AS14061","SG","DIGITALOCEAN","162","Digital Ocean, Inc.","64258","socks5","571","1","2023-03-09T11:06:59.163Z","99","1186","1192"
"170.81.160.124","elite","AS266420","BR","NTC Comunicaçoes Ltda ME","198","NTC Comunicaçoes Ltda ME","42832","socks5","1031","1","2023-03-09T11:04:18.400Z","99","1195","1208"
"103.90.231.93","elite","AS150698","VN","ONETIDC","206","Onet IDC Company","40797","socks5","1187","1","2023-03-09T11:04:06.409Z","97","1160","1191"
"75.119.197.166","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","19821","socks5","1189","1","2023-03-09T11:07:53.317Z","100","1206","1209"
"223.199.16.104","elite","AS4134","CN","Chinanet","220","Hainan TELECOM","9999","socks5","973","1","2023-03-09T11:01:50.801Z","58","696","1193"
"51.38.39.204","elite","AS16276","FR","OVH SAS","5","OVH","63028","socks5","783","1","2023-03-09T11:01:17.723Z","100","1208","1209"
"66.33.210.54","elite","AS26347","US","New Dream Network, LLC","80","New Dream Network, LLC","17567","socks5","830","1","2023-03-09T11:06:15.340Z","100","1192","1192"
"161.202.101.222","elite","AS36351","JP","SoftLayer","261","SoftLayer Technologies, Inc","1080","socks5","1047","1","2023-03-09T11:01:14.078Z","100","1206","1209"
"198.186.192.83","elite","AS6450","US","Providers Internet Exchange","82","Prescient Software, Inc","9050","socks5","880","1","2023-03-09T11:08:09.581Z","100","1190","1191"
"114.99.13.192","elite","AS4134","CN","Chinanet","232","Chinanet AH","8004","socks5","1211","1","2023-03-09T11:05:29.559Z","54","653","1209"
